id,noise_type,noise_level,prompt_in,gold,pred,correct(0/1)
30_spacing_light,spacing,light,Which  archipelago includes Java  and Sumatra,Indonesian Archipelago,Indonesian Archipelago,1
30_spacing_heavy,spacing,heavy,Which archipelago includes   Java   and   Sumatra,Indonesian Archipelago,Indonesian Archipelago,1
30_unicode_light,unicode,light,Which αrchipelago includеs Java and Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
30_unicode_heavy,unicode,heavy,Whіch archіpelagо includes Jαva and Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
30_emoji_light,emoji,light,Which ⛰️ archipelago includes Java 🏔️ and Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
30_emoji_heavy,emoji,heavy,Which archipelago 🌍 includes 🏝️ Java 🌊 and 📍 Sumatra?,Indonesian Archipelago,Indonesian Archipelago,1
31_clean,clean,none,What is the westernmost point of continental Europe?,Cabo da Roca,Cabo da Roca,1
31_typos_light,typos,light,What is the westernmost point of continenyal Ejrope?,Cabo da Roca,Cabo da Roca,1
31_typos_heavy,typos,heavy,What js the westernmost point of cohtinental Euelpe?,Cabo da Roca,Cabo da Roca,1
31_spacing_light,spacing,light,What   is the westernmost point of continental Europe?,Cabo da Roca,Cabo da Roca,1
31_spacing_heavy,spacing,heavy,What  is the westernmost point   of continental  Europe,Cabo da Roca,Cabo da Roca,1
31_unicode_light,unicode,light,What is the westernmost point of cоntinental Euroрe?,Cabo da Roca,Cabo da Roca,1
31_unicode_heavy,unicode,heavy,What is the wеstеrnmost point of continеntal Europе?,Cabo da Roca,Cabo da Roca,1
31_emoji_light,emoji,light,What is the westernmost 🌋 point of continental ❓ Europe?,Cabo da Roca,Cabo da Roca,1
31_emoji_heavy,emoji,heavy,What 🏔️ is 🌊 the 🏝️ westernmost point of continental 🏝️ Europe?,Cabo da Roca,Cannot parse visual elements,0
32_clean,clean,none,"Which lake is shared by Uganda, Kenya, and Tanzania?",Lake Victoria,Lake Victoria,1
32_typos_light,typos,light,"Which lwke is shared by Ugansa, Kenya, and Tanzania?",Lake Victoria,Lake,0
32_typos_heavy,typos,heavy,"Which laie is snared vy Uganda, Lenya, and Tanzania?",Lake Victoria,Lake Victoria,1
32_spacing_light,spacing,light,"Which   lake is shared by Uganda, Kenya, and Tanzania",Lake Victoria,Lake Victoria,1
32_spacing_heavy,spacing,heavy,"Which lake is   shared by Uganda,   Kenya, and   Tanzania",Lake Victoria,Lake Victoria,1
32_unicode_light,unicode,light,"Which lake is shared bу Uganda, Kеnya, and Tanzania?",Lake Victoria,Unrecognized location,0
32_unicode_heavy,unicode,heavy,"Whіch lake іs shared by Ugαnda, Kenya, αnd Tanzania?",Lake Victoria,Lake Victoria,1
32_emoji_light,emoji,light,"Which lake ⛰️ is 🤔 shared by Uganda, Kenya, and Tanzania?",Lake Victoria,Lake Victoria,1
32_emoji_heavy,emoji,heavy,"Which 🌊 lake is 🏔️ shared by Uganda, 🌍 Kenya, 🗺️ and Tanzania?",Lake Victoria,Lake Victoria,1
33_clean,clean,none,What is the longest cave system in the world?,Mammoth Cave,Mammoth Cave,1
33_typos_light,typos,light,Wuat is the longest cave wystem in the world?,Mammoth Cave,Mammoth Cave,1
33_typos_heavy,typos,heavy,Whar is thw longest cave system jn the wodld?,Mammoth Cave,Mammoth Cave,1
33_spacing_light,spacing,light,What is the longest cave system  in the world? ,Mammoth Cave,Mammoth Cave,1
33_spacing_heavy,spacing,heavy,What  is   the longest   cave system   in   the   world,Mammoth Cave,Mammoth Cave,1
33_unicode_light,unicode,light,What is the longest cavе system іn the world?,Mammoth Cave,Mammoth Cave,1
33_unicode_heavy,unicode,heavy,Whαt is the longest cαvе system in the wоrld?,Mammoth Cave,Mammoth Cave,1
33_emoji_light,emoji,light,What is the longest cave system 🏝️ in 📍 the world?,Mammoth Cave,Mammoth Cave,1
33_emoji_heavy,emoji,heavy,What 🗺️ is the 📍 longest cave system in 🗺️ the ❓ world?,Mammoth Cave,Mammoth Cave,1
34_clean,clean,none,Which country owns the Faroe Islands?,Denmark,Denmark,1
34_typos_light,typos,light,Which coujtry owns the Garoe Islands?,Denmark,Denmark,1
34_typos_heavy,typos,heavy,Which counrry owbs fhe Caroe Islands?,Denmark,Denmark,1
34_spacing_light,spacing,light,Which country owns the Faroe Islands?  ,Denmark,Denmark,1
34_spacing_heavy,spacing,heavy,Which   country   owns the  Faroe  Islands,Denmark,Denmark,1
34_unicode_light,unicode,light,Which country оwns thе Faroe Islands?,Denmark,Character encoding error,0
34_unicode_heavy,unicode,heavy,Whiсh country owns thе Fαroe Іslands?,Denmark,Denmark,1
34_emoji_light,emoji,light,Which country owns ⛰️ the 🏔️ Faroe Islands?,Denmark,Denmark,1
34_emoji_heavy,emoji,heavy,Which country 📍 owns 📍 the 📍 Faroe 📍 Islands?,Denmark,Denmark,1
35_clean,clean,none,What is the largest atoll in the world?,Kiritimati,Kiritimati,1
35_typos_light,typos,light,Whay is the largdst atoll in the world?,Kiritimati,Kiritimati,1
35_typos_heavy,typos,heavy,Wnat is the largest agill in the worlf?,Kiritimati,Kiritimati,1
35_spacing_light,spacing,light,What is the largest atoll in  the  world,Kiritimati,Kiritimati,1
35_spacing_heavy,spacing,heavy,What   is the  largest   atoll  in  the world,Kiritimati,Kiritimati,1
35_unicode_light,unicode,light,What is the lαrgest atoll in thе world?,Kiritimati,Kiritimati,1
35_unicode_heavy,unicode,heavy,What is thе lαrgest atоll іn the world?,Kiritimati,Kiritimati,1
35_emoji_light,emoji,light,What 🏔️ is the 🤔 largest atoll in the world?,Kiritimati,Kiritimati,1
35_emoji_heavy,emoji,heavy,What ❓ is ❓ the 🤔 largest atoll 🌋 in the world?,Kiritimati,Kiritimati,1
36_clean,clean,none,Which river delta is home to the Sundarbans mangrove forest?,Ganges Delta,Ganges Delta,1
36_typos_light,typos,light,Which river delta is home to the Sundarbans mangrlvw forest?,Ganges Delta,Mississippi Delta,0
36_typos_heavy,typos,heavy,Wuich river ddlta is uome to the Sundarbans mangrove dorest?,Ganges Delta,Mekong Delta,0
36_spacing_light,spacing,light,Which river delta   is home to the Sundarbans mangrove forest,Ganges Delta,Ganges Delta,1
36_spacing_heavy,spacing,heavy,Which  river delta is   home   to the Sundarbans   mangrove   forest,Ganges Delta,Ganges Delta,1
36_unicode_light,unicode,light,Which river delta is home to the Sundarbαns mαngrove forest?,Ganges Delta,Ganges Delta,1
36_unicode_heavy,unicode,heavy,Which river deltα is home to thе Sundarbans mangrоvе forest?,Ganges Delta,Ganges Delta,1
36_emoji_light,emoji,light,Which river delta is home ❓ to ❓ the Sundarbans mangrove forest?,Ganges Delta,Ganges,0
36_emoji_heavy,emoji,heavy,Which ⛰️ river 📍 delta is home to the 🌍 Sundarbans mangrove ❓ forest?,Ganges Delta,Ganges Delta,1
37_clean,clean,none,What is the southernmost city in the world?,Ushuaia,Ushuaia,1
37_typos_light,typos,light,What is the southernmost city in fje world?,Ushuaia,Ushuaia,1
37_typos_heavy,typos,heavy,What is the soutjernjost city ib the woeld?,Ushuaia,Ushuaia,1
37_spacing_light,spacing,light,What is the southernmost city  in the world? ,Ushuaia,Ushuaia,1
37_spacing_heavy,spacing,heavy,What  is the southernmost  city   in the world,Ushuaia,Ushuaia,1
37_unicode_light,unicode,light,What is the sоuthеrnmost city in the world?,Ushuaia,Ushuaia,1
37_unicode_heavy,unicode,heavy,What is thе southеrnmоst city in thе world?,Ushuaia,Ushuaia,1
37_emoji_light,emoji,light,What 🌋 is the southernmost city in the 🏝️ world?,Ushuaia,Ushuaia,1
37_emoji_heavy,emoji,heavy,What is 📍 the southernmost 🏔️ city in 🤔 the 🤔 world?,Ushuaia,Ushuaia,1
38_clean,clean,none,Which sea separates Saudi Arabia from Africa?,Red Sea,Red Sea,1
38_typos_light,typos,light,Whuch sea separates Saudi Arania from Africa?,Red Sea,Red Sea,1
38_typos_heavy,typos,heavy,Whicb sea separates Saufi Arabia fdom Afriva?,Red Sea,Red Sea,1
38_spacing_light,spacing,light,Which  sea separates  Saudi Arabia from Africa?,Red Sea,Red Sea,1
38_spacing_heavy,spacing,heavy,Which  sea separates   Saudi  Arabia   from  Africa,Red Sea,Red Sea,1
38_unicode_light,unicode,light,Which seα separates Saudi Arabіa from Africa?,Red Sea,Red Sea,1
38_unicode_heavy,unicode,heavy,Which sea separαtes Saudi Arαbіa from Αfrica?,Red Sea,Red Sea,1
38_emoji_light,emoji,light,Which 🏔️ sea separates Saudi ⛰️ Arabia from Africa?,Red Sea,Red Sea,1
38_emoji_heavy,emoji,heavy,Which 🤔 sea 🤔 separates 📍 Saudi Arabia from 🤔 Africa?,Red Sea,Cannot parse visual elements,0
39_clean,clean,none,What is the largest landlocked country in the world?,Kazakhstan,Kazakhstan,1
39_typos_light,typos,light,What is the laryest landlodked country in the world?,Kazakhstan,Kazakhstan,1
39_typos_heavy,typos,heavy,What is yhe pargesy kandlocked country in the world?,Kazakhstan,Kazakhstan,1
39_spacing_light,spacing,light,What is  the  largest landlocked country in the world,Kazakhstan,Kazakhstan,1
39_spacing_heavy,spacing,heavy,What   is  the  largest   landlocked   country  in   the   world,Kazakhstan,Kazakhstan,1
39_unicode_light,unicode,light,What is the largest landlocked соuntry in the world?,Kazakhstan,Kazakhstan,1
39_unicode_heavy,unicode,heavy,What is the largest lαndlocked cоuntry in thе wоrld?,Kazakhstan,Kazakhstan,1
39_emoji_light,emoji,light,What is the 🏝️ largest 📍 landlocked country in the world?,Kazakhstan,Kazakhstan,1
39_emoji_heavy,emoji,heavy,What is the 🤔 largest landlocked country 🏔️ in 🌍 the ❓ world?,Kazakhstan,Kazakhstan,1
40_clean,clean,none,Which volcano destroyed Pompeii?,Mount Vesuvius,Mount Vesuvius,1
40_typos_light,typos,light,Whjch volczno destroyed Pompeii?,Mount Vesuvius,Mount Vesuvius,1
40_typos_heavy,typos,heavy,Wgich volczni destroyed Pompeji?,Mount Vesuvius,Mount Vesuvius,1
40_spacing_light,spacing,light,Which  volcano destroyed Pompeii? ,Mount Vesuvius,Mount Vesuvius,1
40_spacing_heavy,spacing,heavy,Which   volcano   destroyed Pompeii,Mount Vesuvius,Mount Vesuvius,1
40_unicode_light,unicode,light,Which volcano destroуed Pompeiі?,Mount Vesuvius,Mount Vesuvius,1
40_unicode_heavy,unicode,heavy,Whісh volcαno destrоyed Pompeii?,Mount Vesuvius,Mount Vesuvius,1
40_emoji_light,emoji,light,Which 🗺️ volcano 🤔 destroyed Pompeii?,Mount Vesuvius,Mount Vesuvius,1
40_emoji_heavy,emoji,heavy,Which 🤔 volcano 🤔 destroyed 🏝️ Pompeii?,Mount Vesuvius,Mount Vesuvius,1
41_clean,clean,none,What is the longest river in Australia?,Murray River,Murray River,1
41_typos_light,typos,light,What is the llngest river in Wustralia?,Murray River,Murray River,1
41_typos_heavy,typos,heavy,Whar is the longest river kn Ajsrralia?,Murray River,Murray River,1
41_spacing_light,spacing,light,What is the longest river  in  Australia?,Murray River,Murray River,1
41_spacing_heavy,spacing,heavy,What  is   the   longest   river in  Australia,Murray River,Format error,0
41_unicode_light,unicode,light,What is the longest river in Austrαlіa?,Murray River,M***,0
41_unicode_heavy,unicode,heavy,What is thе longеst rіvеr in Australia?,Murray River,Murray River,1
41_emoji_light,emoji,light,What is ⛰️ the longest river 📍 in Australia?,Murray River,Murray River,1
41_emoji_heavy,emoji,heavy,What 🤔 is the 🌋 longest 📍 river 🤔 in Australia?,Murray River,Murray River,1
42_clean,clean,none,Which country has the most islands?,Sweden,Sweden,1
42_typos_light,typos,light,Shich countrh has the most islands?,Sweden,Sweden,1
42_typos_heavy,typos,heavy,Which vpuntty has the most iskands?,Sweden,Sweden,1
42_spacing_light,spacing,light,Which  country  has the most islands?,Sweden,Sweden,1
42_spacing_heavy,spacing,heavy,Which country   has   the   most   islands,Sweden,Sweden,1
42_unicode_light,unicode,light,Which сountry hαs the most islands?,Sweden,Sweden,1
42_unicode_heavy,unicode,heavy,Whiсh сountry has thе most islαnds?,Sweden,Sweden,1
42_emoji_light,emoji,light,Which country 🌍 has the most 🏝️ islands?,Sweden,Sweden,1
42_emoji_heavy,emoji,heavy,Which 🏝️ country has ⛰️ the ❓ most 🏝️ islands?,Sweden,Cannot parse visual elements,0
43_clean,clean,none,What is the highest mountain in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_typos_light,typos,light,What is the higheef mountain in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_typos_heavy,typos,heavy,What is the higuest mountaim in Afdoca?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_spacing_light,spacing,light,What is  the highest mountain in Africa? ,Mount Kilimanjaro,Mount Kilimanjaro,1
43_spacing_heavy,spacing,heavy,What is  the highest   mountain  in  Africa,Mount Kilimanjaro,Mount Kilimanjaro,1
43_unicode_light,unicode,light,What іs the highest mountain in Afriсa?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_unicode_heavy,unicode,heavy,What іs the highеst mountain іn Afriсa?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_emoji_light,emoji,light,What is 🤔 the 🏝️ highest mountain in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,1
43_emoji_heavy,emoji,heavy,What 🌋 is 🌍 the highest 🏔️ mountain 🏝️ in Africa?,Mount Kilimanjaro,Mount Kilimanjaro,1
44_clean,clean,none,Which strait separates Sicily from mainland Italy?,Strait of Messina,Strait of Messina,1
44_typos_light,typos,light,Whifh strait separates Sicilu from mainland Italy?,Strait of Messina,Strait of Messina,1
44_typos_heavy,typos,heavy,Which etrait sepwrates Sicuky from mainland Italy?,Strait of Messina,Strait of Messina,1
44_spacing_light,spacing,light,Which strait  separates Sicily from mainland Italy? ,Strait of Messina,Strait of Messina,1
44_spacing_heavy,spacing,heavy,Which  strait  separates   Sicily from   mainland  Italy,Strait of Messina,Strait of Messina,1
44_unicode_light,unicode,light,Whіch strait separates Sicily from mainland Italу?,Strait of Messina,Strait of Messina,1
44_unicode_heavy,unicode,heavy,Whіch strαit sepαratеs Sicily from mainland Italy?,Strait of Messina,Strait of Messina,1
44_emoji_light,emoji,light,Which strait 🤔 separates Sicily from ❓ mainland Italy?,Strait of Messina,Strait of Messina,1
44_emoji_heavy,emoji,heavy,Which 🌊 strait separates 🌍 Sicily 📍 from ⛰️ mainland Italy?,Strait of Messina,Strait of Messina,1
45_clean,clean,none,What is the largest bay in the world?,Bay of Bengal,Bay of Bengal,1
45_typos_light,typos,light,What is the largsst bay ib the world?,Bay of Bengal,Bay of Bengal,1
45_typos_heavy,typos,heavy,Whar is the largesy bay in the wotlx?,Bay of Bengal,Bay of Bengal,1
45_spacing_light,spacing,light,What is the largest bay  in the  world?,Bay of Bengal,BayofBengal,0
45_spacing_heavy,spacing,heavy,What  is the   largest  bay in   the   world,Bay of Bengal,Bay of Bengal,1
45_unicode_light,unicode,light,What is the largest bαy in thе world?,Bay of Bengal,Bay of Bengal,1
45_unicode_heavy,unicode,heavy,Whαt іs the lαrgest bay in thе world?,Bay of Bengal,Gulf of Mexico,0
45_emoji_light,emoji,light,What is the largest 🌋 bay in the 🌍 world?,Bay of Bengal,Bay of Bengal,1
45_emoji_heavy,emoji,heavy,What 📍 is the 🌊 largest bay in 🏔️ the 📍 world?,Bay of Bengal,Bay of Bengal,1
46_clean,clean,none,Which desert covers much of Botswana?,Kalahari Desert,Kalahari Desert,1
46_typos_light,typos,light,Which desert covers mich of Bltswana?,Kalahari Desert,Kalahari Desert,1
46_typos_heavy,typos,heavy,Wnich deserf dovers kuch of Botswana?,Kalahari Desert,Kalahari Desert,1
46_spacing_light,spacing,light,Which desert covers much  of Botswana? ,Kalahari Desert,Kalahari Desert,1
46_spacing_heavy,spacing,heavy,Which desert covers   much  of Botswana,Kalahari Desert,Kalahari Desert,1
46_unicode_light,unicode,light,Whіch desеrt covers much of Botswana?,Kalahari Desert,Kalahari Desert,1
46_unicode_heavy,unicode,heavy,Whіch desеrt cоvers much of Botswanα?,Kalahari Desert,Kalahari Desert,1
46_emoji_light,emoji,light,Which desert covers 🏝️ much 🤔 of Botswana?,Kalahari Desert,Kalahari Desert,1
46_emoji_heavy,emoji,heavy,Which 🏔️ desert covers 🌍 much 🏔️ of ⛰️ Botswana?,Kalahari Desert,Kalahari Desert,1
47_clean,clean,none,What is the deepest canyon in the world?,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_typos_light,typos,light,What is tje deepest cwnyon in the world?,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_typos_heavy,typos,heavy,What is the deepest canyoj in fye wkrld?,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_spacing_light,spacing,light,What is  the deepest canyon  in the world,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_spacing_heavy,spacing,heavy,What is  the   deepest canyon   in  the  world,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_unicode_light,unicode,light,What іs the deeрest canyon in the world?,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
47_unicode_heavy,unicode,heavy,What is the deеpest сanyоn in thе world?,Yarlung Tsangpo Grand Canyon,Unable to decode,0
47_emoji_light,emoji,light,What is the deepest canyon 🗺️ in 🌋 the world?,Yarlung Tsangpo Grand Canyon,Grand Canyon,0
47_emoji_heavy,emoji,heavy,What is the 🌋 deepest ❓ canyon in 🏔️ the 🌍 world?,Yarlung Tsangpo Grand Canyon,Yarlung Tsangpo Grand Canyon,1
48_clean,clean,none,Which island group forms the westernmost point of Europe?,Azores,Azores,1
48_typos_light,typos,light,Which island group firms the westernmost point if Europe?,Azores,Azores,1
48_typos_heavy,typos,heavy,Which island group forms ths wrsternmost point if Rurope?,Azores,Azores,1
48_spacing_light,spacing,light,Which  island group  forms the westernmost point of Europe?,Azores,Azores,1
48_spacing_heavy,spacing,heavy,Which   island  group  forms  the   westernmost point   of Europe,Azores,Format error,0
48_unicode_light,unicode,light,Which island group forms the westernmost рoint оf Europe?,Azores,Azores,1
48_unicode_heavy,unicode,heavy,Which іsland grоup forms the westernmost рoint оf Europe?,Azores,Azores,1
48_emoji_light,emoji,light,Which island group forms ⛰️ the westernmost 🏔️ point of Europe?,Azores,Azores,1
48_emoji_heavy,emoji,heavy,Which 🤔 island 🌋 group forms 🤔 the westernmost point 🏝️ of Europe?,Azores,Azor*s,0
49_clean,clean,none,What is the longest river in Asia?,Yangtze River,Yangtze River,1
49_typos_light,typos,light,Whag is ths longest river in Asia?,Yangtze River,Yangtze River,1
49_typos_heavy,typos,heavy,What is fhe kongest rivrr ih Asia?,Yangtze River,Yangtze River,1
49_spacing_light,spacing,light,What  is the longest river in Asia? ,Yangtze River,Yangtze River,1
49_spacing_heavy,spacing,heavy,What   is  the longest   river  in   Asia,Yangtze River,Yangtze River,1
49_unicode_light,unicode,light,What іs the longest river in Αsia?,Yangtze River,Yangtze River,1
49_unicode_heavy,unicode,heavy,What is thе longеst river in Αsіa?,Yangtze River,Yangtze River,1
49_emoji_light,emoji,light,What is 🤔 the longest river in 🏔️ Asia?,Yangtze River,Yangtze River,1
49_emoji_heavy,emoji,heavy,What 🏔️ is 🌍 the longest river 🏝️ in 🌊 Asia?,Yangtze River,Emoji interference,0
50_clean,clean,none,Which country contains Angel Falls?,Venezuela,Venezuela,1
50_typos_light,typos,light,Which country contakms Angel Falls?,Venezuela,Venezuela,1
50_typos_heavy,typos,heavy,Whicu country contaund Angel Dalls?,Venezuela,Venezuela,1
50_spacing_light,spacing,light,Which country contains Angel  Falls? ,Venezuela,Venezuela,1
50_spacing_heavy,spacing,heavy,Which  country   contains Angel Falls,Venezuela,Venezuela,1
50_unicode_light,unicode,light,Whiсh country contains Angеl Falls?,Venezuela,V***,0
50_unicode_heavy,unicode,heavy,Which country сontαіns Angel Fαlls?,Venezuela,Colombia,0
50_emoji_light,emoji,light,Which country 🗺️ contains ❓ Angel Falls?,Venezuela,Venezuela,1
50_emoji_heavy,emoji,heavy,Which 🗺️ country ⛰️ contains 🗺️ Angel 🤔 Falls?,Venezuela,Venezuela,1
